cruise_line,destination,departure_port,cabin_type,duration_nights,departure_month,days_until_departure,ship_age_years,passengers,price
Carnival,Caribbean,Tampa,Balcony,5,3,59,21,3,12820
Carnival,Northern Europe,Miami,Interior,10,10,265,19,1,11120
MSC,Northern Europe,Los Angeles,Ocean View,7,4,88,22,2,16210
Princess,Alaska,Galveston,Ocean View,13,3,56,11,3,36960
Princess,Caribbean,New York,Suite,4,8,200,2,2,13630
Celebrity,Mediterranean,Miami,Interior,11,3,47,7,3,35430
Holland America,Mexico,Galveston,Suite,4,7,188,6,2,9230
Carnival,Alaska,Port Canaveral,Ocean View,11,12,334,22,2,20110
Celebrity,Caribbean,Miami,Ocean View,7,8,212,8,1,7070
Celebrity,Mediterranean,Seattle,Suite,14,4,80,8,2,93260
Princess,Northern Europe,Galveston,Suite,9,10,267,15,1,24170
Royal Caribbean,Bahamas,Port Canaveral,Ocean View,7,9,223,19,1,4140
Holland America,South Pacific,New York,Balcony,8,1,355,23,2,52150
Princess,Hawaii,New Orleans,Interior,5,9,239,0,4,19480
Princess,Alaska,New Orleans,Interior,10,4,85,11,3,21500
Royal Caribbean,Hawaii,Miami,Suite,4,8,192,25,2,21700
Royal Caribbean,Mediterranean,Fort Lauderdale,Interior,8,10,279,24,2,13530
Disney,Alaska,New York,Balcony,13,5,115,17,3,71660
MSC,Mexico,Galveston,Suite,5,10,271,14,2,8460
MSC,Bahamas,Miami,Balcony,6,5,124,18,2,5830
Carnival,Caribbean,Fort Lauderdale,Ocean View,8,7,176,2,2,11300
Princess,South Pacific,New York,Ocean View,14,6,131,25,2,44140
Holland America,Mediterranean,Fort Lauderdale,Interior,12,9,223,13,2,28840
Royal Caribbean,Bahamas,Seattle,Interior,7,3,62,7,2,8930
Disney,Alaska,Port Canaveral,Suite,10,3,45,14,3,82930
Carnival,Caribbean,Fort Lauderdale,Interior,8,6,128,5,2,8650
Disney,Mediterranean,Miami,Suite,7,8,206,8,4,129280
Disney,Mexico,New York,Suite,6,10,256,4,2,24270
MSC,Caribbean,Galveston,Interior,4,11,306,15,2,3560
Norwegian,Caribbean,Port Canaveral,Interior,4,3,41,21,3,7180
Holland America,Bahamas,San Juan,Ocean View,6,12,324,2,2,11390
Celebrity,Mexico,Galveston,Ocean View,5,8,209,4,2,6130
Princess,South Pacific,Fort Lauderdale,Balcony,8,3,44,17,2,32580
Princess,Alaska,Fort Lauderdale,Balcony,12,6,152,5,2,57010
Princess,Caribbean,Fort Lauderdale,Balcony,9,4,75,8,2,23050
Carnival,Alaska,New Orleans,Balcony,12,5,111,21,2,24230
Princess,South Pacific,Miami,Balcony,13,6,148,1,1,35240
Norwegian,Mexico,Los Angeles,Ocean View,6,9,225,17,1,3560
Carnival,Alaska,Galveston,Interior,9,9,227,4,1,8950
Celebrity,Caribbean,Tampa,Balcony,6,1,348,3,2,17710
Holland America,Alaska,Port Canaveral,Ocean View,10,8,218,0,2,34020
Celebrity,Northern Europe,New Orleans,Ocean View,8,8,202,1,3,51500
MSC,Mediterranean,Galveston,Suite,10,5,121,0,2,36820
Holland America,Hawaii,Fort Lauderdale,Balcony,9,6,149,11,2,47380
Holland America,Hawaii,Fort Lauderdale,Interior,8,6,140,5,2,25520
Princess,Caribbean,San Juan,Interior,5,7,167,13,2,6040
Carnival,Northern Europe,New Orleans,Ocean View,13,1,7,16,4,39570
MSC,Hawaii,Fort Lauderdale,Suite,9,7,176,19,2,48290
Carnival,Mexico,Seattle,Balcony,5,1,363,9,2,10400
MSC,Northern Europe,Port Canaveral,Suite,11,8,214,17,3,78790
Princess,Mexico,Seattle,Ocean View,7,12,317,20,2,13680
Disney,South Pacific,New York,Ocean View,9,1,344,2,2,75460
Celebrity,Bahamas,New Orleans,Ocean View,5,5,108,4,1,3870
MSC,South Pacific,Los Angeles,Interior,10,1,363,12,2,31020
MSC,Alaska,Fort Lauderdale,Interior,10,5,97,25,4,23480
Disney,Caribbean,Fort Lauderdale,Ocean View,6,9,244,21,2,11970
Celebrity,South Pacific,New York,Suite,9,10,250,14,2,63070
MSC,Mexico,Tampa,Suite,5,3,46,22,2,10790
Princess,Hawaii,New York,Balcony,4,4,84,7,2,15080
Norwegian,Mediterranean,Seattle,Interior,14,8,219,1,2,42470
Holland America,Northern Europe,San Juan,Interior,7,7,187,9,3,33120
Holland America,Mediterranean,Tampa,Suite,14,2,21,12,2,61920
Holland America,Alaska,Port Canaveral,Suite,10,8,208,18,2,63920
Royal Caribbean,Bahamas,Port Canaveral,Suite,8,5,100,1,2,18360
Celebrity,Mediterranean,Galveston,Suite,13,6,149,24,4,155280
Holland America,Mexico,Los Angeles,Interior,3,11,283,1,4,7080
Celebrity,Mediterranean,Miami,Interior,10,5,109,0,2,24620
MSC,Alaska,Fort Lauderdale,Suite,10,9,245,22,2,39760
Celebrity,Alaska,Port Canaveral,Interior,9,11,303,0,4,34150
Holland America,Northern Europe,Fort Lauderdale,Ocean View,10,3,59,22,3,44840
Carnival,Caribbean,New York,Balcony,5,8,196,2,2,9600
Celebrity,Caribbean,Los Angeles,Suite,4,8,192,20,3,16370
Disney,Alaska,Port Canaveral,Suite,11,12,322,25,4,105040
Disney,South Pacific,San Juan,Suite,10,3,51,8,3,163230
MSC,South Pacific,Galveston,Suite,12,5,100,15,2,56510
Princess,Hawaii,San Juan,Balcony,7,6,148,17,1,18290
MSC,Bahamas,Seattle,Ocean View,6,6,130,22,2,5430
Disney,South Pacific,Fort Lauderdale,Interior,13,1,361,7,2,62940
Celebrity,South Pacific,Seattle,Balcony,12,7,187,22,2,49870
Princess,Mexico,Fort Lauderdale,Ocean View,7,7,168,3,3,12660
Norwegian,Mediterranean,Los Angeles,Ocean View,11,3,58,6,2,30450
Celebrity,Alaska,Miami,Balcony,9,6,147,1,4,89160
Princess,Alaska,Fort Lauderdale,Suite,11,9,247,15,2,55740
Norwegian,Caribbean,Los Angeles,Balcony,4,3,40,12,2,9080
Royal Caribbean,Alaska,San Juan,Ocean View,9,6,134,3,2,28320
Holland America,Mediterranean,Los Angeles,Suite,11,11,308,13,2,62620
Royal Caribbean,Bahamas,Tampa,Ocean View,5,3,48,5,2,7590
Carnival,Alaska,Seattle,Interior,14,6,156,1,2,37770
Princess,South Pacific,Tampa,Interior,10,9,224,3,2,27150
Norwegian,Mexico,Fort Lauderdale,Ocean View,4,7,164,19,3,6330
Princess,South Pacific,Los Angeles,Interior,13,6,146,16,2,30880
Disney,Bahamas,Seattle,Interior,7,12,316,8,1,8570
MSC,Caribbean,San Juan,Balcony,3,4,96,15,2,5340
Disney,Mexico,San Juan,Ocean View,5,10,258,2,2,9760
Holland America,Hawaii,Fort Lauderdale,Balcony,8,7,175,13,2,41180
Princess,Northern Europe,Los Angeles,Interior,11,7,172,3,4,73150
Holland America,Caribbean,Seattle,Suite,4,10,272,11,2,13030
Disney,South Pacific,Tampa,Interior,9,6,154,14,3,43240
Disney,Bahamas,San Juan,Interior,7,4,88,9,2,9480
Holland America,Bahamas,Fort Lauderdale,Ocean View,6,4,67,20,3,10110
Disney,Mexico,Seattle,Balcony,7,9,248,7,2,15350
Norwegian,Northern Europe,San Juan,Ocean View,9,3,42,8,3,36050
Holland America,Hawaii,Miami,Balcony,5,7,159,18,2,22800
Disney,Alaska,New York,Suite,12,11,289,24,2,71700
Disney,Hawaii,Tampa,Ocean View,6,5,126,24,2,22130
Celebrity,South Pacific,Seattle,Suite,10,10,260,1,2,80790
Celebrity,Bahamas,Fort Lauderdale,Suite,6,9,240,0,3,22350
Holland America,Alaska,Los Angeles,Interior,11,7,180,19,2,31270
Carnival,Hawaii,Galveston,Suite,6,10,256,17,1,12130
Carnival,Mediterranean,Tampa,Balcony,13,3,57,24,2,26940
Carnival,South Pacific,New Orleans,Ocean View,8,7,173,25,1,10480
Celebrity,Hawaii,Port Canaveral,Suite,5,8,217,18,2,29250
Norwegian,Alaska,Fort Lauderdale,Ocean View,13,12,324,21,2,27610
Norwegian,Mediterranean,New Orleans,Suite,7,9,245,9,2,39890
Norwegian,Bahamas,Galveston,Suite,10,7,160,20,4,31520
Princess,South Pacific,Tampa,Balcony,14,3,61,7,2,70540
Celebrity,Mexico,Miami,Balcony,10,1,344,12,2,25910
Royal Caribbean,South Pacific,Tampa,Balcony,12,5,119,20,2,38580
Princess,Alaska,Miami,Interior,14,2,24,18,2,23310
Norwegian,Bahamas,Galveston,Balcony,7,4,96,6,2,9930
Celebrity,Mexico,New Orleans,Ocean View,8,10,253,25,2,9870
Celebrity,Bahamas,Fort Lauderdale,Suite,4,5,122,21,3,14260
Holland America,Hawaii,Seattle,Interior,3,11,281,3,2,7580
Princess,Northern Europe,Fort Lauderdale,Balcony,14,2,19,19,3,56970
Celebrity,Mediterranean,Los Angeles,Interior,11,12,339,13,2,25660
